id,name,price
1028,"ACER LIQUID ZEST Black","13,990.0"
1029,"KUFJE SNOPY SN-BT10 BLACK","1,500.0"
1030,"SAMSUNG GALAXY S7 EDGE Gold","76,990.0"
1031,"SAMSUNG GALAXY S7 EDGE Black","76,990.0"
1032,"SAMSUNG GALAXY A3 (2016) White","31,990.0"
1033,"SAMSUNG GALAXY A3 (2016) Black","31,990.0"
1034,"SAMSUNG GALAXY A5 (2016) Black","42,990.0"
1035,"SAMSUNG GALAXY A5 (2016) Gold","42,990.0"
1036,"SAMSUNG GALAXY S8+ Black","114,990.0"
1037,"CANTE TABLET PLATINET 7""-7 85""","1,790.0"
1038,"SAMSUNG GALAXY S8 Black","99,990.0"
1039,"HUB S-LINK 4PORT USB 2.0",750.0
1040,"LP HP 250 G5 W4M66EA","35,990.0"
1041,"SAMSUNG GALAXY J5 (2017) Blue","34,990.0"
1042,"SAMSUNG GALAXY A5 (2017) Black","54,990.0"
1043,"PLAYSTATION 3 BLACK 12 GB","29,990.0"
1044,"SAMSUNG GALAXY J1 (2016) White","18,990.0"
1045,"SAMSUNG GALAXY J5 (2016) Black","24,990.0"
1046,"SAMSUNG GALAXY J5 (2016) White","24,990.0"
1047,"SAMSUNG GALAXY J5 (2016) Gold","24,990.0"
1048,"SAMSUNG GALAXY J7 (2016) Black","30,990.0"
1049,"iPhone 7 256GB - Jet Black","129,990.0"
1050,"iPhone 7 Plus 32GB - Black","114,990.0"
1051,"iPhone 7 Plus 32GB - Silver","114,990.0"
1052,"iPhone 7 Plus 32GB - Gold","114,990.0"
1053,"iPhone 7 Plus 32GB - Rose Gold","114,990.0"
1054,"SAMSUNG GALAXY J3 (2016) Gold","17,990.0"
1055,"SAMSUNG GALAXY J3 (2016) White","17,990.0"
1056,"iPhone 5s 16GB Space Gray","46,990.0"
1057,"iPhone 5s 16GB Silver","46,990.0"
1058,"ALCATEL IDOL 3 (4.7"") BLACK","26,990.0"
1059,"HUAWEI P8 GREY","49,990.0"
1060,"SAMSUNG GALAXY S8+ Black","114,990.0"
1061,"CANTE TABLET PLATINET 7""-7 85""","1,790.0"
1062,"SAMSUNG GALAXY S8 Black","99,990.0"
1063,"HUB S-LINK 4PORT USB 2.0",750.0
1064,"LP HP 250 G5 W4M66EA","35,990.0"
1065,"SAMSUNG GALAXY J5 (2017) Blue","34,990.0"
1066,"SAMSUNG GALAXY A5 (2017) Black","54,990.0"
1067,"PLAYSTATION 3 BLACK 12 GB","29,990.0"
1068,"HUAWEI P8 LITE DS GOLD","22,990.0"
1069,"HUAWEI Y6 BLACK","16,990.0"
1070,"ALCATEL POP 3 (5.5"") Black","19,990.0"
1071,"ALCATEL 1016G Black","2,490.0"
1072,"ASUS ZC451CG ZENFONE C Black","14,990.0"
1073,"SAMSUNG G928F S6 EDGE+ 32GB Bl","89,990.0"
1074,"HUAWEI P8 LITE DS Black","22,990.0"
1075,"HUAWEI MATE S Grey","79,990.0"
1076,"ALCATEL GO PLAY (5.0"")","19,990.0"
1077,"ALCATEL PIXI 4 (6.0"") Black","16,990.0"
1078,"HUAWEI HONOR 5X","32,990.0"
1079,"SAMSUNG GALAXY J3 (2016) Black","17,990.0"
1080,"iPhone 7 Plus 128GB - Black","129,990.0"
1081,"iPhone 7 Plus 128GB - Silver","129,990.0"
1082,"HUAWEI MATE 9 Space Grey","89,990.0"
1083,"SAMSUNG GALAXY A5 (2017) Blue","54,990.0"
1084,"SAMSUNG GALAXY S8+ Black","114,990.0"
1085,"CANTE TABLET PLATINET 7""-7 85""","1,790.0"
1086,"SAMSUNG GALAXY S8 Black","99,990.0"
1087,"HUB S-LINK 4PORT USB 2.0",750.0
1088,"LP HP 250 G5 W4M66EA","35,990.0"
1089,"SAMSUNG GALAXY J5 (2017) Blue","34,990.0"
