id,name,price
455,"iPhone 7 32GB - Rose Gold",0.00
456,"iPhone 6s 32GB - Space Gray",0.00
457,"iPhone 7 32GB - Silver",0.00
458,"HUAWEI MATE 9 Space Grey",89.00
459,"SAMSUNG G928F S6 EDGE+ 32GB Bl",89.00
460,"SAMSUNG GALAXY S8+ Black",0.00
461,"SAMSUNG GALAXY S8+ Silver",0.00
462,"iPhone 7 Plus 32GB - Gold",0.00
463,"iPhone 7 128GB - Black",0.00
464,"iPhone 7 Plus 32GB - Black",0.00
465,"iPhone 7 128GB - Rose Gold",0.00
466,"iPhone 7 Plus 32GB - Rose Gold",0.00
467,"iPhone 7 128GB - RED",0.00
468,"iPhone 7 128GB - Silver",0.00
469,"iPhone 7 Plus 32GB - Silver",0.00
470,"iPhone 7 128GB - Jet Black",0.00
471,"iPhone 7 128GB - Gold",0.00
472,"iPhone 6+ 128GB Silver",0.00
473,"iPhone 7 256GB - Black",0.00
474,"iPhone 7 256GB - RED",0.00
475,"iPhone 7 256GB - Rose Gold",0.00
476,"iPhone 7 256GB - Silver",0.00
477,"iPhone 7 256GB - Jet Black",0.00
478,"iPhone 7 256GB - Gold",0.00
479,"iPhone 7 Plus 128GB -Rose Gold",0.00
480,"iPhone 7 Plus 128GB - Silver",0.00
481,"iPhone 7 Plus 128GB -Jet Black",0.00
482,"iPhone 7 Plus 128GB - Gold",0.00
483,"iPhone 7 Plus 128GB - Black",0.00
484,"iPhone 7 Plus 128GB - RED",129.00
485,"iPhone 7 Plus 256GB -Rose Gold",0.00
486,"iPhone 7 Plus 256GB - Silver",0.00
487,"iPhone 7 Plus 256GB -Jet Black",0.00
488,"iPhone 7 Plus 256GB - Gold",0.00
489,"iPhone 7 Plus 256GB - Black",0.00
490,"iPhone 7 Plus 256GB - RED",144.00
